Run,Assay Type,BioProject,BioSample,source_name
SRR7179504,RNA-Seq,PRJNA416257,SAMN09221634,LNCaP cells
SRR7179505,RNA-Seq,PRJNA416257,SAMN09221634,LNCaP cells
SRR7179506,RNA-Seq,PRJNA416257,SAMN09221634,LNCaP cells
SRR7179507,RNA-Seq,PRJNA416257,SAMN09221634,LNCaP cells
SRR7179508,RNA-Seq,PRJNA416257,SAMN09221633,LNCaP cells
SRR7179509,RNA-Seq,PRJNA416257,SAMN09221633,LNCaP cells
SRR7179510,RNA-Seq,PRJNA416257,SAMN09221633,LNCaP cells
SRR7179511,RNA-Seq,PRJNA416257,SAMN09221633,LNCaP cells
SRR7179520,RNA-Seq,PRJNA416257,SAMN09221630,LNCaP cells
SRR7179521,RNA-Seq,PRJNA416257,SAMN09221630,LNCaP cells
SRR7179522,RNA-Seq,PRJNA416257,SAMN09221630,LNCaP cells
SRR7179523,RNA-Seq,PRJNA416257,SAMN09221630,LNCaP cells
SRR7179524,RNA-Seq,PRJNA416257,SAMN09221629,LNCaP cells
SRR7179525,RNA-Seq,PRJNA416257,SAMN09221629,LNCaP cells
SRR7179526,RNA-Seq,PRJNA416257,SAMN09221629,LNCaP cells
SRR7179527,RNA-Seq,PRJNA416257,SAMN09221629,LNCaP cells
SRR7179536,RNA-Seq,PRJNA416257,SAMN09221626,PC3 cells
SRR7179537,RNA-Seq,PRJNA416257,SAMN09221625,PC3 cells
SRR7179540,RNA-Seq,PRJNA416257,SAMN09221622,PC3 cells
SRR7179541,RNA-Seq,PRJNA416257,SAMN09221621,PC3 cells
